ID,EnumID,English,Russian
BackID,7,Back,Назад
ChatID,26,Chat,Чат
ContinueID,19,Continue,Продолжить
ControllableID,14,Сontrol,Управление
Description_Floor3_ID,30,The main part of the administration and accounting departments is located there. Includes classrooms and teachers offices.,Основная часть администрации и бухгалтерии сосредоточена там. Включает учебные аудитории и кабинеты преподавателей
Description_Floor4_5_ID,31,These floors are designed for effective learning and interaction between students and teachers.,Эти этажи созданы для эффективного обучения и взаимодействия студентов с преподавателями.
Description_Floor6_ID,32,On the sixth floor are computer labs where students complete assignments on the institute's website and work on projects.,На шестом этаже находятся компьютерные кабинеты{comma} где студенты выполняют задания на сайте института и работают над проектами.
EnterID,13,Enter game,Начать игру
ExitID,2,Exit,Выйти
FloorID,10,Floor,Этаж
IDLanguageEnglish,12,English,Английский
IDLanguageRussian,11,Russian,Русский
InventoryID,16,Inventory,Инвентарь
LanguageID,6,Language,Язык
MasterVolumeID,8,Master Volume,Общая громкость
MouseSensitivityID,15,Mouse Sensitivity,Чувствительность мыши
NameOwnerID,27,You,Вы
NULLID,0,NULL,NULL
ProfileID,17,Profile,Профиль
ReconnectID,3,Reconnect,Повторное подключение
SettingID,1,Setting,Настройки
SoundID,5,Sound,Звук
SoundVolumeID,9,Sound Volume,Громкость звуков
Title_Floor3_ID,20,Floor 3,Этаж 3
Title_Floor4_ID,21,Floor 4,Этаж 4
Title_Floor5_ID,22,Floor 5,Этаж 5
Title_Floor6_ID,23,Floor 6,Этаж 6
VideoID,4,Video,Видео
ViewPlayerID,25,Show Players,Отображать игроков
WantQuitID,18,Exit game?,Выйти из игры?
WorkInProgressID,24,Work In Progress :),Работаем на этим :)
